City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Sacramento,38.4666,-121.3177,13.95,72,24,1.31,2021-11-18 03:00:00
Sacramento,38.4666,-121.3177,14.09,64,100,0.59,2021-11-19 03:00:00
Sacramento,38.4666,-121.3177,12.53,82,98,1.76,2021-11-20 03:00:00
Sacramento,38.4666,-121.3177,12.14,58,0,2.57,2021-11-21 03:00:00
Sacramento,38.4666,-121.3177,11.71,51,0,1.6,2021-11-22 03:00:00
Atlanta,33.749,-84.388,15.35,61,1,1.54,2021-11-18 03:00:00
Atlanta,33.749,-84.388,11.51,65,100,5.43,2021-11-19 03:00:00
Atlanta,33.749,-84.388,11.29,33,0,3.69,2021-11-20 03:00:00
Atlanta,33.749,-84.388,8.8,36,21,3.6,2021-11-21 03:00:00
Atlanta,33.749,-84.388,12.99,77,99,2.32,2021-11-22 03:00:00
Kansas City,39.0997,-94.5786,7.87,37,52,4.39,2021-11-18 03:00:00
Kansas City,39.0997,-94.5786,2.31,36,43,1.16,2021-11-19 03:00:00
Kansas City,39.0997,-94.5786,7.82,43,100,5.88,2021-11-20 03:00:00
Kansas City,39.0997,-94.5786,10.57,75,100,1.75,2021-11-21 03:00:00
Kansas City,39.0997,-94.5786,5.68,67,9,3.04,2021-11-22 03:00:00
Colorado Springs,38.8339,-104.8214,-1.08,56,14,2.49,2021-11-18 03:00:00
Colorado Springs,38.8339,-104.8214,3.52,20,65,1.85,2021-11-19 03:00:00
Colorado Springs,38.8339,-104.8214,6.94,35,29,1.1,2021-11-20 03:00:00
Colorado Springs,38.8339,-104.8214,5.42,69,100,4.15,2021-11-21 03:00:00
Colorado Springs,38.8339,-104.8214,3.36,45,7,2.14,2021-11-22 03:00:00
Raleigh,35.7721,-78.6386,14.81,61,1,3.92,2021-11-18 03:00:00
Raleigh,35.7721,-78.6386,17.14,71,38,3.52,2021-11-19 03:00:00
Raleigh,35.7721,-78.6386,5.51,42,0,3.05,2021-11-20 03:00:00
Raleigh,35.7721,-78.6386,6.11,59,72,1.49,2021-11-21 03:00:00
Raleigh,35.7721,-78.6386,11.3,82,100,2.22,2021-11-22 03:00:00
Omaha,41.2586,-95.9378,5.31,38,1,6.09,2021-11-18 03:00:00
Omaha,41.2586,-95.9378,1.36,38,37,1.81,2021-11-19 03:00:00
Omaha,41.2586,-95.9378,6.67,46,100,5.08,2021-11-20 03:00:00
Omaha,41.2586,-95.9378,7.14,60,100,2.7,2021-11-21 03:00:00
Omaha,41.2586,-95.9378,4.02,51,100,5.27,2021-11-22 03:00:00
Miami,25.7743,-80.1937,25.26,77,97,7.85,2021-11-18 03:00:00
Miami,25.7743,-80.1937,24.27,80,100,3.4,2021-11-19 03:00:00
Miami,25.7743,-80.1937,24.33,71,100,9.1,2021-11-20 03:00:00
Miami,25.7743,-80.1937,24.19,80,100,7.38,2021-11-21 03:00:00
Miami,25.7743,-80.1937,24.43,82,0,3.74,2021-11-22 03:00:00
Long Beach,33.767,-118.1892,17.97,73,14,2.39,2021-11-18 03:00:00
Long Beach,33.767,-118.1892,17.59,68,100,2.04,2021-11-19 03:00:00
Long Beach,33.767,-118.1892,17.47,64,100,1.94,2021-11-20 03:00:00
Long Beach,33.767,-118.1892,17.95,60,58,2.48,2021-11-21 03:00:00
Long Beach,33.767,-118.1892,21.98,24,66,4.45,2021-11-22 03:00:00
Virginia Beach,36.8529,-75.978,16.27,70,15,5.41,2021-11-18 03:00:00
Virginia Beach,36.8529,-75.978,17.74,82,8,6.95,2021-11-19 03:00:00
Virginia Beach,36.8529,-75.978,8.39,53,6,6.01,2021-11-20 03:00:00
Virginia Beach,36.8529,-75.978,10.53,67,69,1.6,2021-11-21 03:00:00
Virginia Beach,36.8529,-75.978,15.22,85,100,4.14,2021-11-22 03:00:00
Oakland,42.6667,-83.3999,12.25,87,93,5.25,2021-11-18 03:00:00
Oakland,42.6667,-83.3999,-0.75,75,83,5.24,2021-11-19 03:00:00
Oakland,42.6667,-83.3999,1.32,59,100,2.61,2021-11-20 03:00:00
Oakland,42.6667,-83.3999,2.82,65,99,2.73,2021-11-21 03:00:00
Oakland,42.6667,-83.3999,4.08,80,72,5.59,2021-11-22 03:00:00
Minneapolis,44.98,-93.2638,0.84,59,80,6.23,2021-11-18 03:00:00
Minneapolis,44.98,-93.2638,-1.82,64,6,3.15,2021-11-19 03:00:00
Minneapolis,44.98,-93.2638,1.72,52,39,4.38,2021-11-20 03:00:00
Minneapolis,44.98,-93.2638,1.46,66,100,1.18,2021-11-21 03:00:00
Minneapolis,44.98,-93.2638,-4.72,46,40,6.62,2021-11-22 03:00:00
Tampa,27.9475,-82.4584,21.98,78,93,4.1,2021-11-18 03:00:00
Tampa,27.9475,-82.4584,19.91,76,100,2.83,2021-11-19 03:00:00
Tampa,27.9475,-82.4584,19.65,84,95,5.96,2021-11-20 03:00:00
Tampa,27.9475,-82.4584,20.65,80,13,6.77,2021-11-21 03:00:00
Tampa,27.9475,-82.4584,20.59,84,43,4.25,2021-11-22 03:00:00
Tulsa,36.1001,-95.9003,11.6,33,93,7.64,2021-11-18 03:00:00
Tulsa,36.1001,-95.9003,5.71,32,16,1.79,2021-11-19 03:00:00
Tulsa,36.1001,-95.9003,8.22,43,100,5.23,2021-11-20 03:00:00
Tulsa,36.1001,-95.9003,16.39,77,100,7.17,2021-11-21 03:00:00
Tulsa,36.1001,-95.9003,8.68,51,0,3.41,2021-11-22 03:00:00
Arlington,32.7357,-97.1081,18.05,39,3,7.16,2021-11-18 03:00:00
Arlington,32.7357,-97.1081,12.37,23,0,3.72,2021-11-19 03:00:00
Arlington,32.7357,-97.1081,13.51,34,58,4.14,2021-11-20 03:00:00
Arlington,32.7357,-97.1081,20.31,70,100,6.87,2021-11-21 03:00:00
Arlington,32.7357,-97.1081,15.14,36,100,4.71,2021-11-22 03:00:00
Wichita,37.6922,-97.3375,8.05,29,80,4.06,2021-11-18 03:00:00
Wichita,37.6922,-97.3375,6.64,26,100,3.3,2021-11-19 03:00:00
Wichita,37.6922,-97.3375,9.85,38,93,7.01,2021-11-20 03:00:00
Wichita,37.6922,-97.3375,12.07,71,100,3.32,2021-11-21 03:00:00
